building,town,county,occurrences,dove_tower_id,confidence,alternatives,reasoning
,Caversham,Berks,2,15422,medium,25642;25630,Partial dedication match for 'S Peter' among 3 towers in town
St Andrew,Leyland,,2,16375,high,21588;14916,Resolved dedication 'S Andrew' (Leyland) among 3 towers in town
,King's Norton,Warks,2,12070,high,,Unique tower in King's Norton (West Midlands); building unspecified in source
St Laurence,Appleton,Oxfordshire,2,12653,high,14832,Resolved dedication 'S Laurence' (Appleton) among 2 towers in town
SS Peter and Paul,Wisbech,Cambridgeshire,2,11719,medium,24886,Partial dedication match for 'S Peter & S Paul' among 2 towers in town
St Thomas Martyr,Oxford,Oxfordshire,2,11759,high,14542;10172;11850;12299;11203;16203;13271;13903;10326;10578,Resolved dedication 'S Thomas M' (Oxford) among 26 towers in town
Cathedral Church of St Peter and St Wilfrid,Ripon,North Yorkshire,2,16628,high,23020;23822,Resolved dedication 'Cath Ch of S Peter & S Wilfrid' (Ripon) among 3 towers in town
Cathedral Church of St Peter and St Paul,Llandaff,Cardiff,2,11207,high,,Unique tower in Llandaff; dedication 'Cath Ch of S Peter & S Paul' matches 'Cathedral Church of St Peter and St Paul'
"Cheltenham, Naperville (IL), Glasgow, Vancouver (WA), Vernet-les-Bains",Ringing Room,"UK, USA, & France",2,,none,,Virtual ringing platform or dispersed locations
"Minster Church of St Peter ad Vincula, Stoke-upon-Trent",Stoke on Trent,Staffordshire,2,15103,high,,"Resolved via parish in building 'Stoke-upon-Trent' (Stoke on Trent, Minster Ch of S Peter ad Vincula)"
18 Dalby Avenue,Bushby,,2,,none,,Private residence address (handbell ring)
,Reading 3 Cranmer Close Tilehurst,Berkshire,2,,none,,No matching tower found for 'Reading 3 Cranmer Close Tilehurst' in Dove register
St Mary-de-Castro,Leicester,,2,13828,high,12250;10495;21538;21539;21540;21541;21542;21544;21545;21546,Resolved dedication 'S Mary de Castro' (Leicester) among 15 towers in town
St Mary & All Saints,Chesterfield,Derbyshire,2,13811,high,19120;19121,Resolved dedication 'S Mary & All Saints' (Chesterfield) among 3 towers in town
,Selby,,2,14413,medium,17362,Partial dedication match for 'Abbey Ch of S Mary & S Germain' among 2 towers in town
St Peter,South Croydon,Greater London,2,15156,high,19501;23496,Resolved dedication 'S Peter' (South Croydon) among 3 towers in town
Cathedral Church of Holy Spirit,Guildford,Surrey,2,14593,high,14592;11502;12695;25706;20505;25586,Resolved dedication 'Cath Ch of Holy Spirit' (Guildford) among 7 towers in town
"St Mary le Bow, Cheapside",London,City of London,2,10588,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Mary le Bow' (London) among 41 towers in town
St Patrick,Ballymena,Antrim,2,16273,high,25662,Resolved dedication 'S Patrick' (Ballymena) among 2 towers in town
Christ Church,Oxford,,2,14542,high,10172;11850;12299;11203;16203;13271;13903;10326;10578;14239,Resolved dedication 'Cath Ch of Christ' (Oxford) among 26 towers in town
Cathedral,Newcastle-upon-Tyne,,2,10887,high,12945;10353;25928;17782;22337;22343,Resolved dedication 'Cath Ch of S Nicholas' (Newcastle upon Tyne) among 7 towers in town
Trinity Church,New York City,New York,2,10490,high,,"Fuzzy place match (New York City -> New York, New York)"
Cathedral,Canterbury,,2,12513,high,12146;10102;13702;18951;17524;18952;18953;10001;17476,Resolved dedication 'Cath & Metropolitical Ch of Christ' (Canterbury) among 10 towers in town
St Martins,Leicester Cathedral,Leicestershire,2,,none,,No matching tower found for 'Leicester Cathedral' in Dove register
St Michael and All Angels,Macclesfield,Cheshire,2,15811,high,12003;14669;17333,Resolved dedication 'S Michael & All Angels' (Macclesfield) among 4 towers in town
Cathedral,Southwark,,2,16296,high,12588;23574,Resolved dedication 'Cath Ch of S Saviour' (Southwark) among 3 towers in town
,Christchurch,Hants,2,,none,,No matching tower found for 'Christchurch' in Dove register
Cathedral,Winchester,,2,14349,high,11660;11985;11942;24845;24846;24847;24854;24853;24848;24849,"Resolved dedication 'Cath Ch of Holy Trinity, S Peter, S Paul, & S Swithun' (Winchester) among 15 towers in town"
Cathedral,Lincoln,,2,12153,high,25226;12159;13659;10782;21599;11493;17791;21600;21601;21602,Resolved dedication 'Cath Ch of BVM' (Lincoln) among 14 towers in town
"St Michael, Cornhill",City of London,City of London,2,16131,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Michael' (London) among 41 towers in town
"St Mary the Virgin, Redcliffe",Bristol,Bristol,2,12166,high,10300;10331;15455;14342;11615;14422;15180;12993;12039;16354,Resolved dedication 'S Mary V' (Bristol) among 17 towers in town
12 Hertford St,Cambridge,Cambridgeshire,2,,none,,Private residence address (handbell ring)
"Cathedral Church of Holy Trinity, SS Peter, Paul and Swithun",Winchester,Hampshire,2,24847,high,14349;11660;11985;11942;24845;24846;24854;24853;24848;24849,Resolved dedication 'Holy Trinity' (Winchester) among 15 towers in town
Swan Bells,Perth,Western Australia,2,16028,high,12085;11687;12726,Resolved dedication 'Bell Tower' (Perth) among 4 towers in town
43 Arkley Court,Holyport,Berkshire,2,,none,,Private residence address (handbell ring)
All Saints,Covington,Cambridgeshire,1,12152,high,,Unique tower in Covington; dedication 'All Saints' matches 'All Saints'
St Mary's,Watford,Hertfordshire,1,10317,high,24481;24482;24483;24484;24486;24487,Resolved dedication 'S Mary' (Watford) among 7 towers in town
"Trumpington, SS Mary and Michael",Trumpington,Cambridgeshire,1,10245,high,,"Unique tower in Trumpington; dedication 'S Mary & S Michael' matches 'Trumpington, SS Mary and Michael'"
"Thistle Downe, Scotter Road",Messingham,North Lincolnshire,1,,none,,Private residence name (handbell ring)
All Saints,Botley,Hampshire,1,12336,high,18519,Resolved dedication 'All Saints' (Botley) among 2 towers in town
"Minster (clock chamber, SW tower)",York,,1,,none,11340;13714;16004;11426;16125;15985;13479;12165;10509;11836,"Unresolved: 'Minster (clock chamber, SW tower)' did not match any of the 24 towers in York"
,Vergers Lodge,Warwickshire,1,,none,,No matching tower found for 'Vergers Lodge' in Dove register
St Mary,Haselor churchyard,Warwickshire,1,20685,high,,"Fuzzy place match (Haselor churchyard -> Haselor, Warwickshire)"
St John the Baptist,Cayton,North Yorkshire,1,13166,high,,Unique tower in Cayton; dedication 'S John Bapt' matches 'St John the Baptist'
St Andrews,Lismore,New South Wales,1,13969,high,,Unique tower in Lismore; dedication 'S Andrew' matches 'St Andrews'
,Worcester Beacon Malvern hills,Worcestershire,1,,none,,No matching tower found for 'Worcester Beacon Malvern hills' in Dove register
St Nicholas,Alcester St Nicholas,Warwickshire,1,12246,high,,"Fuzzy place match (Alcester St Nicholas -> Alcester, Warwickshire)"
St Giles,Marston Montgomery,Derbyshire,1,14912,high,,Unique tower in Marston Montgomery; dedication 'S Giles' matches 'St Giles'
St Mary,South Stoneham,Hampshire,1,12022,high,,Unique tower in South Stoneham; dedication 'S Mary' matches 'St Mary'
,Weethley churchyard,Warwickshire,1,24503,high,,"Fuzzy place match (Weethley churchyard -> Weethley, Warwickshire)"
St Nicholas,Vergers Lodge Alcester living room,Warwickshire,1,,none,,No matching tower found for 'Vergers Lodge Alcester living room' in Dove register
Holy Trinity,"Arrow church yard, Holy Trinity",Warwickshire,1,17954,high,,"Fuzzy place match (Arrow church yard, Holy Trinity -> Arrow, Warwickshire)"
St Helen,Gumley,Leicestershire,1,12591,high,,Unique tower in Gumley; dedication 'S Helen' matches 'St Helen'
St Peter,Horninghold,Leicestershire,1,15947,high,,Unique tower in Horninghold; dedication 'S Peter' matches 'St Peter'
St Peter,Ashby Parva,Leicestershire,1,14035,high,,Unique tower in Ashby Parva; dedication 'S Peter' matches 'St Peter'
St Mary,Newton Regis,Warwickshire,1,12378,high,,Unique tower in Newton Regis; dedication 'S Mary' matches 'St Mary'
,"Catshill, In the sunny garden",Worcestershire,1,17183,high,,"Fuzzy place match (Catshill, In the sunny garden -> Catshill, Worcestershire)"
,Catshill in front of Tetrapanax Rex,Worcestershire,1,17183,high,,"Fuzzy place match (Catshill in front of Tetrapanax Rex -> Catshill, Worcestershire)"
,"Carding mill, lightspout waterfall",Shropshire,1,,none,,"No matching tower found for 'Carding mill, lightspout waterfall' in Dove register"
,"Nanny's cave, Kinver Edge",Worcestershire,1,,none,,"No matching tower found for 'Nanny's cave, Kinver Edge' in Dove register"
All Saints,Dunton Bassett,Leicestershire,1,10436,high,,Unique tower in Dunton Bassett; dedication 'All Saints' matches 'All Saints'
St Nicholas,Frolesworth,Leicestershire,1,15480,high,,Unique tower in Frolesworth; dedication 'S Nicholas' matches 'St Nicholas'
All Saints,Downhead,Somerset,1,13456,high,,Unique tower in Downhead; dedication 'All Saints' matches 'All Saints'
St Mary,Sparham,Norfolk,1,12894,high,,Unique tower in Sparham; dedication 'S Mary' matches 'St Mary'
Holy Trinity,Sutton Montis,Somerset,1,14735,high,,Unique tower in Sutton Montis; dedication 'Holy Trinity' matches 'Holy Trinity'
St Margaret,Long Riston,East Riding of Yorkshire,1,13408,high,,Unique tower in Long Riston; dedication 'S Margaret' matches 'St Margaret'
Wimberry Apartments,Sheffield,South Yorkshire,1,,none,10439;13787;23300;22121,Unresolved: 'Wimberry Apartments' did not match any of the 4 towers in Sheffield
St Mary,Sevington,Kent,1,10044,high,,Unique tower in Sevington; dedication 'S Mary' matches 'St Mary'
St Thomas a Becket,Fairfield,Kent,1,16768,high,,Unique tower in Fairfield; dedication 'S Thomas a Becket' matches 'St Thomas a Becket'
,"Lickey church , holy trinity",Worcestershire,1,,none,,"No matching tower found for 'Lickey church , holy trinity' in Dove register"
St Michael's Churchyard,Rushock,Worcestershire,1,23121,high,,Unique tower in Rushock; dedication 'S Michael' matches 'St Michael's Churchyard'
St Nicholas,Vergers Lodge Alcester front room,Warwickshire,1,,none,,No matching tower found for 'Vergers Lodge Alcester front room' in Dove register
St Martin,Welton le Wold,Lincolnshire,1,10470,high,,Unique tower in Welton le Wold; dedication 'S Martin' matches 'St Martin'
,Kinwarton Dovecote,Warwickshire,1,21346,high,,"Fuzzy place match (Kinwarton Dovecote -> Kinwarton, Warwickshire)"
All Saints,Broughton,North Yorkshire,1,11473,high,,Unique tower in Broughton; dedication 'All Saints' matches 'All Saints'
All Saints,Lowesby,Leicestershire,1,13636,high,,Unique tower in Lowesby; dedication 'All Saints' matches 'All Saints'
,"The Old Bakehouse, Ashton under Hill",Worcestershire,1,10526,high,,"Resolved via suburb/parish 'Ashton under Hill' in town name (Ashton under Hill, S Barbara)"
All Saints,Didcot,Oxfordshire,1,17010,high,19630,Resolved dedication 'All Saints' (Didcot) among 2 towers in town
,Cofton Hackett St Michael's churchyard,Worcestershire,1,19278,high,,"Fuzzy place match (Cofton Hackett St Michael's churchyard -> Cofton Hackett, Worcestershire)"
St Michael,Great Oakley,Northamptonshire,1,12475,high,,Unique tower in Great Oakley; dedication 'S Michael' matches 'St Michael'
St Oswald,Grasmere,Cumbria,1,16299,high,,Unique tower in Grasmere; dedication 'S Oswald' matches 'St Oswald'
St Mary the Virgin,Aldworth,Berkshire,1,11600,high,,Unique tower in Aldworth; dedication 'S Mary V' matches 'St Mary the Virgin'
,Hopton castle,,1,21012,high,,Unique tower in Hopton Castle (Shropshire); building unspecified in source
St Peter,Farmington,Gloucestershire,1,13213,high,,Unique tower in Farmington; dedication 'S Peter' matches 'St Peter'
St Nicholas,Vergers Lodge Alcester,Warwickshire,1,,none,,No matching tower found for 'Vergers Lodge Alcester' in Dove register
,Gumley,,1,12591,high,,Unique tower in Gumley (Leicestershire); building unspecified in source
,"Tracey's Art Studio, Catshill",Worcestershire,1,17183,high,,"Resolved via suburb/parish 'Catshill' in town name (Catshill, Christ Church)"
St Michael and St Martin,Eastleach Martin,Gloucestershire,1,10832,high,,Unique tower in Eastleach Martin; dedication 'S Michael & S Martin' matches 'St Michael and St Martin'
St Nicholas,Vergers Lodge,Warwickshire,1,,none,,No matching tower found for 'Vergers Lodge' in Dove register
St John the Baptist,Tunstall,Lancashire,1,14672,high,,Unique tower in Tunstall; dedication 'S John Bapt' matches 'St John the Baptist'
,Vegetable patch Catshill garden,Worcestershire,1,,none,,No matching tower found for 'Vegetable patch Catshill garden' in Dove register
,"Wychbury obelisk, Hagley",Worcestershire,1,13672,high,,"Resolved via suburb/parish 'Hagley' in town name (Hagley, S John Bapt)"
,Catshill country garden,Worcestershire,1,17183,high,,"Fuzzy place match (Catshill country garden -> Catshill, Worcestershire)"
St Nicholas,Swayfield,Lincolnshire,1,13435,high,,Unique tower in Swayfield; dedication 'S Nicholas' matches 'St Nicholas'
,"The Rookery Alcester, living room",Warwickshire,1,,none,,"No matching tower found for 'The Rookery Alcester, living room' in Dove register"
,The deck of ' The minds eye ',"Catshill ,Worcestershire",1,,none,,No matching tower found for 'The deck of ' The minds eye '' in Dove register
St Nicholas,Compton,Surrey,1,10309,high,25458;25487,Resolved dedication 'S Nicholas' (Compton) among 3 towers in town
St Peter,Monkton Farleigh,Wiltshire,1,13881,high,,Unique tower in Monkton Farleigh; dedication 'S Peter' matches 'St Peter'
,Hanbury woods,Worcestershire,1,15060,high,,"Fuzzy place match (Hanbury woods -> Hanbury, Worcestershire)"
,"Catshill ,Bromsgrove",Worcestershire,1,10080,high,,"Resolved via suburb/parish 'Bromsgrove' in town name (Bromsgrove, S John Bapt)"
Holy Trinity,Elsworth,Cambridgeshire,1,13909,high,,Unique tower in Elsworth; dedication 'Holy Trinity' matches 'Holy Trinity'
St Bartholomew,Chalvington,East Sussex,1,15885,high,,Unique tower in Chalvington; dedication 'S Bartholomew' matches 'St Bartholomew'
St James,Waresley,Cambridgeshire,1,11423,high,,Unique tower in Waresley; dedication 'S James' matches 'St James'
St John the Baptist,Aston Cantlow memorial garden,Warwickshire,1,,none,,No matching tower found for 'Aston Cantlow memorial garden' in Dove register
St Nicholas,"Vergers Lodge Alcester, front room",Warwickshire,1,,none,,"No matching tower found for 'Vergers Lodge Alcester, front room' in Dove register"
,"Vergers lodge, Alcester",Warwickshire,1,12246,high,,"Resolved via suburb/parish 'Alcester' in town name (Alcester, S Nicholas)"
All Saints,Ledsham,West Yorkshire,1,10220,high,,Unique tower in Ledsham; dedication 'All Saints' matches 'All Saints'
St Michael and All Angels,Ravenstone,Leicestershire,1,13799,high,,Unique tower in Ravenstone; dedication 'S Michael & All Angels' matches 'St Michael and All Angels'
St Remigius,Water Newton,Cambridgeshire,1,15487,high,,Unique tower in Water Newton; dedication 'S Remigius' matches 'St Remigius'
St Mary the Virgin,Nether Broughton,Leicestershire,1,13786,high,,Unique tower in Nether Broughton; dedication 'S Mary V' matches 'St Mary the Virgin'
St Margaret,Fernhurst,West Sussex,1,11575,high,,Unique tower in Fernhurst; dedication 'S Margaret' matches 'St Margaret'
St Peter,West Tytherley,Hampshire,1,10070,high,,Unique tower in West Tytherley; dedication 'S Peter' matches 'St Peter'
All Saints,Goodmanham,East Riding of Yorkshire,1,15213,high,,Unique tower in Goodmanham; dedication 'All Saints' matches 'All Saints'
Holy Cross,Bury,Cambridgeshire,1,16571,high,,Unique tower in Bury; dedication 'Holy Cross' matches 'Holy Cross'
St Katherine,Netherhampton,Wiltshire,1,10921,high,,Unique tower in Netherhampton; dedication 'S Katherine' matches 'St Katherine'
St Thomas a Becket,Lovington,Somerset,1,10570,high,,Unique tower in Lovington; dedication 'S Thomas a Becket' matches 'St Thomas a Becket'
Blessed Virgin Mary,Yarlington,Somerset,1,11190,high,,Unique tower in Yarlington; dedication 'Blessed Virgin Mary' matches 'Blessed Virgin Mary'
St Peter,South Barrow,Somerset,1,15573,high,,Unique tower in South Barrow; dedication 'S Peter' matches 'St Peter'
,Mynedd Mechell,Anglesey,1,,none,,No matching tower found for 'Mynedd Mechell' in Dove register
,Parys Mountain Copper mine,Anglesey,1,,none,,No matching tower found for 'Parys Mountain Copper mine' in Dove register
St Mary,North Somercotes,Lincolnshire,1,16402,high,,Unique tower in North Somercotes; dedication 'S Mary' matches 'St Mary'
